,product name,company,original_prices,discount_prices,discount 
0,Solid Men Polo Neck Red T-Shirt,U.S. POLO ASSN.," 1,599", 459,71%  
1,Printed Men Round Neck White T-Shirt,PUMA," 1,799", 439,75%  
2,Graphic Print Men Crew Neck White T-Shirt,BLIVE," 1,999", 143,92%  
3,"Color Block Men Round Neck White, Blue T-Shirt",Smartees," 1,599", 159,90%  
4,Color Block Men Hooded Neck Multicolor T-Shirt,EyeBogler," 1,299", 191,85%  
5,Printed Men Round Neck Yellow T-Shirt,BLIVE," 1,999", 143,92%  
6,Printed Men Hooded Neck Black T-Shirt,Smartees," 1,599", 159,90%  
7,Solid Men Polo Neck Blue T-Shirt,U.S. POLO ASSN.," 1,699", 494,70%  
8,"Solid Men Mandarin Collar Black, Grey T-Shirt",TRIPR," 1,999", 191,90%  
9,Color Block Men Round Neck Grey T-Shirt,EyeBogler," 1,299", 143,88%  
10,Solid Men Polo Neck Multicolor T-Shirt,U.S. POLO ASSN.," 1,499", 424,71%  
11,Solid Men Polo Neck Grey T-Shirt,PUMA," 1,299", 311,76%  
12,Printed Men Round Neck Black T-Shirt,NB NICKY BOY, 777, 199,74%  
13,Printed Men Hooded Neck Black T-Shirt,Smartees, 999, 159,84%  
14,Printed Men Hooded Neck Black T-Shirt,Smartees," 1,599", 159,90%  
15,Solid Men Round Neck Black T-Shirt,FastColors," 1,999", 199,90%  
16,Solid Men Polo Neck Black T-Shirt,U.S. POLO ASSN.," 1,699", 494,70%  
17,RBK VECTOR TEE Color Block Men Round Neck Maroon T-Shir...,REEBOK, 999, 319,68%  
18,"Solid Men Mandarin Collar Maroon, Black T-Shirt",TRIPR," 1,999", 191,90%  
19,Striped Men Polo Neck Blue T-Shirt,EyeBogler," 1,299", 231,82%  
20,Printed Men Polo Neck Grey T-Shirt,REEBOK," 1,199", 383,68%  
21,"Solid Men V Neck Blue, Grey T-Shirt",TRIPR, 899, 143,84%  
22,Printed Men Round Neck Dark Green T-Shirt,TRIPR," 1,399", 143,89%  
23,Printed Men Round Neck Black T-Shirt,Smartees, 999, 143,85%  
24,Printed Men Round Neck White T-Shirt,Smartees, 999, 143,85%  
25,Graphic Print Men Crew Neck Yellow T-Shirt,BLIVE," 1,999", 143,92%  
26,Printed Men Crew Neck Blue T-Shirt,PUMA," 1,499", 424,71%  
27,Printed Men Round Neck Green T-Shirt,PUMA," 1,499", 359,76%  
